date,price
2021-05-13,21.28
2021-05-14,21.91
2021-05-15,21.65
2021-05-16,21.36
2021-05-17,20.64
2021-05-18,21.49
2021-05-19,21.35
2021-05-20,21.9
2021-05-21,22.04
2021-05-22,22.94
2021-05-23,22.67
2021-05-24,21.96
2021-05-25,21.63
2021-05-26,21.9
2021-05-27,22.24
2021-05-28,23.02
2021-05-29,22.99
2021-05-30,23.25
2021-05-31,22.58
2021-06-01,22.42
2021-06-02,23.28
2021-06-03,22.99
2021-06-04,23.19
2021-06-05,24.07
2021-06-06,23.05
2021-06-07,23.54
2021-06-08,23.63
2021-06-09,23.52
2021-06-10,24.0
2021-06-11,23.78
2021-06-12,24.89
2021-06-13,24.68
2021-06-14,23.81
2021-06-15,24.73
2021-06-16,23.83
2021-06-17,24.18
2021-06-18,24.63
2021-06-19,25.48
2021-06-20,25.43
2021-06-21,25.15
2021-06-22,24.71
2021-06-23,24.76
2021-06-24,25.84
2021-06-25,25.73
2021-06-26,25.83
2021-06-27,26.58
2021-06-28,25.83
2021-06-29,25.77
2021-06-30,26.04
2021-07-01,26.12
2021-07-02,26.63
2021-07-03,27.25
2021-07-04,26.65
2021-07-05,26.66
2021-07-06,26.34
2021-07-07,26.16
2021-07-08,27.42
2021-07-09,27.13
2021-07-10,27.86
2021-07-11,27.64
2021-07-12,27.73
2021-07-13,26.73
2021-07-14,27.13
2021-07-15,27.78
2021-07-16,28.37
2021-07-17,28.81
2021-07-18,28.45
2021-07-19,28.02
2021-07-20,28.2
2021-07-21,28.77
2021-07-22,28.05
2021-07-23,29.01
2021-07-24,29.47
2021-07-25,29.06
2021-07-26,29.19
2021-07-27,28.39
2021-07-28,28.34
2021-07-29,29.49
2021-07-30,28.69
2021-07-31,29.68
2021-08-01,30.5
2021-08-02,29.33
2021-08-03,29.26
2021-08-04,28.98
2021-08-05,29.78
2021-08-06,30.22
2021-08-07,31.09
2021-08-08,29.9
2021-08-09,28.93
2021-08-10,29.85
2021-08-11,30.42
2021-08-12,30.1
2021-08-13,30.17
2021-08-14,30.6
2021-08-15,30.93
2021-08-16,30.21
2021-08-17,30.22
2021-08-18,29.54
2021-08-19,30.64
2021-08-20,31.56
2021-08-21,31.35
2021-08-22,30.87
2021-08-23,31.22
2021-08-24,30.98
2021-08-25,30.63
2021-08-26,30.98
2021-08-27,32.13
2021-08-28,31.63
2021-08-29,31.55
2021-08-30,31.85
2021-08-31,31.06
2021-09-01,30.96
2021-09-02,30.88
2021-09-03,32.01
2021-09-04,32.11
2021-09-05,31.68
2021-09-06,31.83
2021-09-07,30.82
2021-09-08,30.84
2021-09-09,31.54
2021-09-10,32.22
2021-09-11,31.83
2021-09-12,31.69
2021-09-13,31.4
2021-09-14,31.43
2021-09-15,31.3
2021-09-16,32.3
2021-09-17,31.59
2021-09-18,32.61
2021-09-19,32.01
2021-09-20,31.95
2021-09-21,32.22
2021-09-22,31.61
2021-09-23,32.1
2021-09-24,32.72
2021-09-25,32.06
2021-09-26,32.48
2021-09-27,32.1
2021-09-28,31.5
2021-09-29,31.87
2021-09-30,32.07
2021-10-01,32.14
2021-10-02,32.03
2021-10-03,32.55
2021-10-04,32.38
2021-10-05,31.2
2021-10-06,31.68
2021-10-07,31.5
2021-10-08,32.13
2021-10-09,32.2
2021-10-10,31.68
2021-10-11,31.59
2021-10-12,31.67
2021-10-13,31.59
2021-10-14,31.57
2021-10-15,32.61
2021-10-16,32.25
2021-10-17,32.5
2021-10-18,30.94
2021-10-19,32.15
2021-10-20,31.08
2021-10-21,31.08
2021-10-22,31.47
2021-10-23,32.22
2021-10-24,31.9
2021-10-25,31.38
2021-10-26,30.99
2021-10-27,30.43
2021-10-28,31.11
2021-10-29,30.69
2021-10-30,31.24
2021-10-31,31.45
2021-11-01,30.07
2021-11-02,31.23
2021-11-03,30.88
2021-11-04,30.36
2021-11-05,31.34
2021-11-06,31.32
2021-11-07,30.74
2021-11-08,30.49
2021-11-09,29.85
2021-11-10,29.97
2021-11-11,30.49
2021-11-12,30.79
2021-11-13,30.76
2021-11-14,30.42
2021-11-15,30.13
2021-11-16,29.73
2021-11-17,29.06
2021-11-18,29.52
2021-11-19,30.61
2021-11-20,30.66
2021-11-21,29.96
2021-11-22,29.16
2021-11-23,29.19
2021-11-24,29.15
2021-11-25,28.68
2021-11-26,29.55
2021-11-27,29.05
2021-11-28,29.02
2021-11-29,28.67
2021-11-30,28.9
2021-12-01,27.57
2021-12-02,28.49
2021-12-03,29.15
2021-12-04,29.15
2021-12-05,28.86
2021-12-06,27.68
2021-12-07,27.62
2021-12-08,27.51
2021-12-09,28.43
2021-12-10,28.22
2021-12-11,28.28
2021-12-12,27.98
2021-12-13,26.92
2021-12-14,27.2
2021-12-15,26.63
2021-12-16,27.38
2021-12-17,27.36
2021-12-18,28.03
2021-12-19,27.26
2021-12-20,27.39
2021-12-21,25.57
2021-12-22,26.83
2021-12-23,26.95
2021-12-24,27.05
2021-12-25,27.72
2021-12-26,26.08
2021-12-27,26.13
2021-12-28,26.12
2021-12-29,25.9
2021-12-30,25.85
2021-12-31,26.51
2022-01-01,26.14
2022-01-02,25.8
2022-01-03,25.16
2022-01-04,25.4
2022-01-05,25.15
2022-01-06,26.22
2022-01-07,25.93
2022-01-08,25.12
2022-01-09,25.56
2022-01-10,24.38
2022-01-11,24.3
2022-01-12,24.45
2022-01-13,24.33
2022-01-14,24.83
2022-01-15,24.78
2022-01-16,24.71
2022-01-17,24.12
2022-01-18,23.75
2022-01-19,24.4
2022-01-20,24.3
2022-01-21,24.57
2022-01-22,24.82
2022-01-23,24.74
2022-01-24,24.06
2022-01-25,22.85
2022-01-26,23.43
2022-01-27,23.83
2022-01-28,24.21
2022-01-29,23.85
2022-01-30,23.58
2022-01-31,22.74
2022-02-01,22.58
2022-02-02,22.32
2022-02-03,23.5
2022-02-04,23.2
2022-02-05,23.08
2022-02-06,23.18
2022-02-07,22.61
2022-02-08,22.0
2022-02-09,22.41
2022-02-10,22.39
2022-02-11,23.12
2022-02-12,22.97
2022-02-13,22.73
2022-02-14,22.04
2022-02-15,21.61
2022-02-16,21.98
2022-02-17,21.68
2022-02-18,23.06
2022-02-19,22.47
2022-02-20,23.04
2022-02-21,22.07
2022-02-22,21.49
2022-02-23,21.37
2022-02-24,22.11
2022-02-25,22.44
2022-02-26,22.49
2022-02-27,22.33
2022-02-28,21.61
2022-03-01,21.67
2022-03-02,21.07
2022-03-03,21.63
2022-03-04,22.28
2022-03-05,21.87
2022-03-06,21.86
2022-03-07,21.93
2022-03-08,21.14
2022-03-09,21.02
2022-03-10,21.95
2022-03-11,21.54
2022-03-12,21.9
2022-03-13,22.11
2022-03-14,21.02
2022-03-15,21.11
2022-03-16,21.08
2022-03-17,22.04
2022-03-18,21.39
2022-03-19,21.79
2022-03-20,21.6
2022-03-21,21.41
2022-03-22,21.21
2022-03-23,21.27
2022-03-24,22.02
2022-03-25,22.16
2022-03-26,21.58
2022-03-27,21.27
2022-03-28,21.17
2022-03-29,20.92
2022-03-30,21.07
2022-03-31,22.0
2022-04-01,21.83
2022-04-02,22.56
2022-04-03,22.33
2022-04-04,21.53
2022-04-05,21.1
2022-04-06,21.86
2022-04-07,21.54
2022-04-08,22.43
2022-04-09,22.49
2022-04-10,22.61
2022-04-11,21.89
2022-04-12,21.55
2022-04-13,22.05
2022-04-14,21.98
2022-04-15,22.75
2022-04-16,22.74
2022-04-17,22.49
2022-04-18,21.58
2022-04-19,21.88
2022-04-20,21.68
2022-04-21,22.66
2022-04-22,23.76
2022-04-23,23.0
2022-04-24,23.2
2022-04-25,22.86
2022-04-26,21.89
2022-04-27,22.71
2022-04-28,22.81
2022-04-29,23.22
2022-04-30,23.83
2022-05-01,23.15
2022-05-02,22.81
2022-05-03,23.05
2022-05-04,23.41
2022-05-05,23.45
2022-05-06,24.13
2022-05-07,23.58
2022-05-08,23.85
2022-05-09,23.69
2022-05-10,23.05
2022-05-11,23.75
2022-05-12,24.1
2022-05-13,24.58
2022-05-14,25.08
2022-05-15,24.93
2022-05-16,23.71
2022-05-17,23.73
2022-05-18,24.34
2022-05-19,24.53
2022-05-20,25.82
2022-05-21,25.7
2022-05-22,24.85
2022-05-23,24.54
2022-05-24,24.18
2022-05-25,24.95
2022-05-26,25.1
2022-05-27,25.57
2022-05-28,25.56
2022-05-29,26.15
2022-05-30,25.24
2022-05-31,25.02
2022-06-01,24.88
2022-06-02,26.17
2022-06-03,26.61
2022-06-04,26.99
2022-06-05,27.07
2022-06-06,26.31
2022-06-07,25.96
2022-06-08,25.72
2022-06-09,26.82
2022-06-10,27.4
2022-06-11,27.58
2022-06-12,26.64
2022-06-13,27.43
2022-06-14,27.06
2022-06-15,26.91
2022-06-16,27.45
2022-06-17,27.38
2022-06-18,28.37
2022-06-19,27.98
2022-06-20,27.38
2022-06-21,28.31
2022-06-22,28.36
2022-06-23,28.58
2022-06-24,28.82
2022-06-25,28.6
2022-06-26,28.87
2022-06-27,28.72
2022-06-28,28.36
2022-06-29,28.59
2022-06-30,29.17
2022-07-01,29.2
2022-07-02,30.1
2022-07-03,30.0
2022-07-04,29.17
2022-07-05,28.92
2022-07-06,30.11
2022-07-07,30.27
2022-07-08,29.55
2022-07-09,30.53
2022-07-10,30.05
2022-07-11,29.76
2022-07-12,29.67
2022-07-13,30.13
2022-07-14,30.56
2022-07-15,30.65
2022-07-16,30.92
2022-07-17,30.41
2022-07-18,30.77
2022-07-19,30.73
2022-07-20,31.13
2022-07-21,31.66
2022-07-22,31.84
2022-07-23,31.86
2022-07-24,32.58
2022-07-25,31.17
2022-07-26,30.84
2022-07-27,31.34
2022-07-28,32.06
2022-07-29,32.94
2022-07-30,32.49
2022-07-31,31.91
2022-08-01,32.39
2022-08-02,31.79
2022-08-03,31.76
2022-08-04,32.29
2022-08-05,33.13
2022-08-06,32.64
2022-08-07,33.59
2022-08-08,32.66
2022-08-09,32.54
2022-08-10,33.07
2022-08-11,32.91
2022-08-12,33.66
2022-08-13,33.78
2022-08-14,33.78
2022-08-15,34.1
2022-08-16,32.66
2022-08-17,33.18
2022-08-18,34.41
2022-08-19,33.81
2022-08-20,34.85
2022-08-21,34.1
2022-08-22,34.06
