date,price
2021-05-13,126.54
2021-05-14,124.99
2021-05-15,125.6
2021-05-16,126.75
2021-05-17,126.0
2021-05-18,125.51
2021-05-19,124.28
2021-05-20,123.84
2021-05-21,126.57
2021-05-22,125.46
2021-05-23,127.45
2021-05-24,126.22
2021-05-25,124.64
2021-05-26,126.49
2021-05-27,127.75
2021-05-28,127.49
2021-05-29,126.26
2021-05-30,127.8
2021-05-31,127.7
2021-06-01,128.34
2021-06-02,128.46
2021-06-03,126.49
2021-06-04,127.71
2021-06-05,129.71
2021-06-06,126.03
2021-06-07,129.65
2021-06-08,127.04
2021-06-09,127.98
2021-06-10,131.47
2021-06-11,129.7
2021-06-12,129.62
2021-06-13,130.45
2021-06-14,129.62
2021-06-15,128.71
2021-06-16,130.36
2021-06-17,133.89
2021-06-18,132.57
2021-06-19,132.11
2021-06-20,131.75
2021-06-21,132.35
2021-06-22,132.01
2021-06-23,129.99
2021-06-24,132.7
2021-06-25,132.57
2021-06-26,135.45
2021-06-27,132.37
2021-06-28,134.41
2021-06-29,130.58
2021-06-30,133.16
2021-07-01,132.14
2021-07-02,132.46
2021-07-03,135.34
2021-07-04,132.5
2021-07-05,133.58
2021-07-06,132.62
2021-07-07,134.61
2021-07-08,135.01
2021-07-09,131.77
2021-07-10,136.53
2021-07-11,134.4
2021-07-12,138.23
2021-07-13,136.39
2021-07-14,136.78
2021-07-15,132.19
2021-07-16,139.17
2021-07-17,136.81
2021-07-18,134.59
2021-07-19,136.88
2021-07-20,138.29
2021-07-21,134.13
2021-07-22,138.77
2021-07-23,137.21
2021-07-24,137.1
2021-07-25,137.22
2021-07-26,136.34
2021-07-27,137.8
2021-07-28,138.14
2021-07-29,139.9
2021-07-30,141.0
2021-07-31,138.63
2021-08-01,140.65
2021-08-02,136.96
2021-08-03,139.58
2021-08-04,137.19
2021-08-05,138.55
2021-08-06,140.86
2021-08-07,139.06
2021-08-08,140.81
2021-08-09,137.55
2021-08-10,138.56
2021-08-11,140.68
2021-08-12,142.68
2021-08-13,139.17
2021-08-14,143.55
2021-08-15,141.42
2021-08-16,144.14
2021-08-17,140.11
2021-08-18,140.02
2021-08-19,141.79
2021-08-20,140.18
2021-08-21,142.22
2021-08-22,141.78
2021-08-23,143.56
2021-08-24,141.91
2021-08-25,139.7
2021-08-26,140.11
2021-08-27,141.14
2021-08-28,139.67
2021-08-29,139.36
2021-08-30,145.49
2021-08-31,140.84
2021-09-01,144.25
2021-09-02,141.65
2021-09-03,142.64
2021-09-04,140.84
2021-09-05,145.17
2021-09-06,142.3
2021-09-07,145.24
2021-09-08,141.8
2021-09-09,145.3
2021-09-10,146.07
2021-09-11,141.66
2021-09-12,144.45
2021-09-13,141.8
2021-09-14,141.4
2021-09-15,143.5
2021-09-16,145.0
2021-09-17,146.27
2021-09-18,143.82
2021-09-19,145.64
2021-09-20,144.59
2021-09-21,143.48
2021-09-22,142.18
2021-09-23,144.11
2021-09-24,149.88
2021-09-25,143.17
2021-09-26,144.09
2021-09-27,142.57
2021-09-28,145.81
2021-09-29,146.59
2021-09-30,146.28
2021-10-01,147.67
2021-10-02,144.61
2021-10-03,147.04
2021-10-04,142.76
2021-10-05,146.16
2021-10-06,146.16
2021-10-07,143.29
2021-10-08,146.09
2021-10-09,143.06
2021-10-10,142.28
2021-10-11,141.85
2021-10-12,142.0
2021-10-13,142.02
2021-10-14,143.98
2021-10-15,147.22
2021-10-16,144.2
2021-10-17,142.98
2021-10-18,144.88
2021-10-19,143.14
2021-10-20,143.73
2021-10-21,144.55
2021-10-22,144.97
2021-10-23,143.28
2021-10-24,143.65
2021-10-25,145.0
2021-10-26,142.65
2021-10-27,142.91
2021-10-28,144.09
2021-10-29,144.61
2021-10-30,143.5
2021-10-31,144.54
2021-11-01,143.16
2021-11-02,140.8
2021-11-03,143.88
2021-11-04,141.84
2021-11-05,148.29
2021-11-06,144.0
2021-11-07,142.77
2021-11-08,144.02
2021-11-09,144.63
2021-11-10,144.73
2021-11-11,143.16
2021-11-12,144.66
2021-11-13,144.11
2021-11-14,142.8
2021-11-15,139.78
2021-11-16,141.81
2021-11-17,137.78
2021-11-18,140.71
2021-11-19,144.51
2021-11-20,142.67
2021-11-21,141.96
2021-11-22,140.13
2021-11-23,139.79
2021-11-24,140.05
2021-11-25,139.24
2021-11-26,138.16
2021-11-27,143.3
2021-11-28,143.9
2021-11-29,139.78
2021-11-30,141.6
2021-12-01,138.47
2021-12-02,141.22
2021-12-03,138.8
2021-12-04,142.36
2021-12-05,140.65
2021-12-06,138.03
2021-12-07,140.49
2021-12-08,142.19
2021-12-09,139.91
2021-12-10,140.11
2021-12-11,140.17
2021-12-12,139.97
2021-12-13,141.17
2021-12-14,140.85
2021-12-15,135.53
2021-12-16,140.98
2021-12-17,139.05
2021-12-18,141.95
2021-12-19,139.68
2021-12-20,139.91
2021-12-21,137.22
2021-12-22,135.91
2021-12-23,138.65
2021-12-24,140.05
2021-12-25,139.68
2021-12-26,139.36
2021-12-27,137.94
2021-12-28,138.33
2021-12-29,135.9
2021-12-30,137.24
2021-12-31,135.3
2022-01-01,137.63
2022-01-02,136.85
2022-01-03,136.87
2022-01-04,138.03
2022-01-05,136.48
2022-01-06,132.13
2022-01-07,139.08
2022-01-08,137.17
2022-01-09,137.76
2022-01-10,134.77
2022-01-11,136.92
2022-01-12,138.01
2022-01-13,133.38
2022-01-14,138.11
2022-01-15,134.72
2022-01-16,134.6
2022-01-17,135.27
2022-01-18,138.16
2022-01-19,132.07
2022-01-20,134.19
2022-01-21,135.55
2022-01-22,136.5
2022-01-23,134.94
2022-01-24,135.27
2022-01-25,132.61
2022-01-26,135.45
2022-01-27,136.19
2022-01-28,133.12
2022-01-29,133.63
2022-01-30,135.13
2022-01-31,134.51
2022-02-01,134.47
2022-02-02,131.75
2022-02-03,133.36
2022-02-04,133.52
2022-02-05,136.44
2022-02-06,133.83
2022-02-07,132.68
2022-02-08,131.71
2022-02-09,133.17
2022-02-10,135.36
2022-02-11,131.38
2022-02-12,134.04
2022-02-13,134.33
2022-02-14,136.17
2022-02-15,133.79
2022-02-16,134.89
2022-02-17,133.18
2022-02-18,131.27
2022-02-19,131.27
2022-02-20,132.06
2022-02-21,132.93
2022-02-22,131.96
2022-02-23,131.74
2022-02-24,135.68
2022-02-25,129.43
2022-02-26,131.61
2022-02-27,136.73
2022-02-28,132.99
2022-03-01,131.16
2022-03-02,130.53
2022-03-03,133.94
2022-03-04,134.15
2022-03-05,134.41
2022-03-06,130.82
2022-03-07,132.63
2022-03-08,131.8
2022-03-09,132.94
2022-03-10,130.09
2022-03-11,133.97
2022-03-12,135.55
2022-03-13,130.72
2022-03-14,133.83
2022-03-15,134.84
2022-03-16,133.71
2022-03-17,132.66
2022-03-18,133.35
2022-03-19,132.44
2022-03-20,133.38
2022-03-21,130.99
2022-03-22,132.48
2022-03-23,131.2
2022-03-24,130.67
2022-03-25,135.76
2022-03-26,130.61
2022-03-27,136.13
2022-03-28,129.49
2022-03-29,134.19
2022-03-30,133.16
2022-03-31,130.76
2022-04-01,132.97
2022-04-02,132.32
2022-04-03,132.22
2022-04-04,134.75
2022-04-05,131.3
2022-04-06,130.29
2022-04-07,135.56
2022-04-08,134.88
2022-04-09,134.45
2022-04-10,133.81
2022-04-11,135.01
2022-04-12,134.32
2022-04-13,133.74
2022-04-14,133.47
2022-04-15,136.6
2022-04-16,137.39
2022-04-17,135.66
2022-04-18,139.33
2022-04-19,134.79
2022-04-20,134.93
2022-04-21,137.54
2022-04-22,136.11
2022-04-23,136.27
2022-04-24,135.14
2022-04-25,136.15
2022-04-26,132.57
2022-04-27,134.31
2022-04-28,134.27
2022-04-29,133.04
2022-04-30,138.45
2022-05-01,136.06
2022-05-02,134.89
2022-05-03,136.76
2022-05-04,134.42
2022-05-05,138.35
2022-05-06,139.69
2022-05-07,135.43
2022-05-08,139.46
2022-05-09,137.62
2022-05-10,138.97
2022-05-11,137.74
2022-05-12,136.63
2022-05-13,135.99
2022-05-14,137.01
2022-05-15,137.87
2022-05-16,140.06
2022-05-17,139.29
2022-05-18,139.02
2022-05-19,141.42
2022-05-20,136.74
2022-05-21,138.06
2022-05-22,138.01
2022-05-23,139.67
2022-05-24,136.83
2022-05-25,138.81
2022-05-26,142.47
2022-05-27,142.45
2022-05-28,143.6
2022-05-29,140.16
2022-05-30,139.17
2022-05-31,141.14
2022-06-01,139.53
2022-06-02,141.43
2022-06-03,141.93
2022-06-04,143.27
2022-06-05,144.62
2022-06-06,144.29
2022-06-07,143.5
2022-06-08,141.98
2022-06-09,143.93
2022-06-10,142.86
2022-06-11,142.31
2022-06-12,141.26
2022-06-13,142.52
2022-06-14,144.14
