date,price,commodity
2021-05-13,36.38,Onion
2021-05-14,35.77,Onion
2021-05-15,37.69,Onion
2021-05-16,37.8,Onion
2021-05-17,34.98,Onion
2021-05-18,35.51,Onion
2021-05-19,37.11,Onion
2021-05-20,37.33,Onion
2021-05-21,38.21,Onion
2021-05-22,37.78,Onion
2021-05-23,39.3,Onion
2021-05-24,39.0,Onion
2021-05-25,38.33,Onion
2021-05-26,39.61,Onion
2021-05-27,39.65,Onion
2021-05-28,39.08,Onion
2021-05-29,40.52,Onion
2021-05-30,39.3,Onion
2021-05-31,40.76,Onion
2021-06-01,39.9,Onion
2021-06-02,40.12,Onion
2021-06-03,40.31,Onion
2021-06-04,42.67,Onion
2021-06-05,41.77,Onion
2021-06-06,41.51,Onion
2021-06-07,41.39,Onion
2021-06-08,42.17,Onion
2021-06-09,42.37,Onion
2021-06-10,43.06,Onion
2021-06-11,43.73,Onion
2021-06-12,45.62,Onion
2021-06-13,43.31,Onion
2021-06-14,43.04,Onion
2021-06-15,42.76,Onion
2021-06-16,44.4,Onion
2021-06-17,45.51,Onion
2021-06-18,45.05,Onion
2021-06-19,44.75,Onion
2021-06-20,44.75,Onion
2021-06-21,45.91,Onion
2021-06-22,45.98,Onion
2021-06-23,46.16,Onion
2021-06-24,45.72,Onion
2021-06-25,47.18,Onion
2021-06-26,47.44,Onion
2021-06-27,47.52,Onion
2021-06-28,47.93,Onion
2021-06-29,47.34,Onion
2021-06-30,48.1,Onion
2021-07-01,48.2,Onion
2021-07-02,49.05,Onion
2021-07-03,49.71,Onion
2021-07-04,47.82,Onion
2021-07-05,48.66,Onion
2021-07-06,48.51,Onion
2021-07-07,48.71,Onion
2021-07-08,49.68,Onion
2021-07-09,51.91,Onion
2021-07-10,50.13,Onion
2021-07-11,51.76,Onion
2021-07-12,49.19,Onion
2021-07-13,50.38,Onion
2021-07-14,51.17,Onion
2021-07-15,52.18,Onion
2021-07-16,52.93,Onion
2021-07-17,53.34,Onion
2021-07-18,52.28,Onion
2021-07-19,51.98,Onion
2021-07-20,53.13,Onion
2021-07-21,52.51,Onion
2021-07-22,52.16,Onion
2021-07-23,52.91,Onion
2021-07-24,53.42,Onion
2021-07-25,54.65,Onion
2021-07-26,54.12,Onion
2021-07-27,54.56,Onion
2021-07-28,53.87,Onion
2021-07-29,55.0,Onion
2021-07-30,56.03,Onion
2021-07-31,55.49,Onion
2021-08-01,56.12,Onion
2021-08-02,54.88,Onion
2021-08-03,55.08,Onion
2021-08-04,55.36,Onion
2021-08-05,55.22,Onion
2021-08-06,57.32,Onion
2021-08-07,56.74,Onion
2021-08-08,57.09,Onion
2021-08-09,57.27,Onion
2021-08-10,57.15,Onion
2021-08-11,57.62,Onion
2021-08-12,57.5,Onion
2021-08-13,57.77,Onion
2021-08-14,58.34,Onion
2021-08-15,56.79,Onion
2021-08-16,56.74,Onion
2021-08-17,56.74,Onion
2021-08-18,57.28,Onion
2021-08-19,59.08,Onion
2021-08-20,58.45,Onion
2021-08-21,59.16,Onion
2021-08-22,60.55,Onion
2021-08-23,58.76,Onion
2021-08-24,59.61,Onion
2021-08-25,58.33,Onion
2021-08-26,59.51,Onion
2021-08-27,59.35,Onion
2021-08-28,60.12,Onion
2021-08-29,61.02,Onion
2021-08-30,58.39,Onion
2021-08-31,60.17,Onion
2021-09-01,60.2,Onion
2021-09-02,59.94,Onion
2021-09-03,59.66,Onion
2021-09-04,61.22,Onion
2021-09-05,60.49,Onion
2021-09-06,60.83,Onion
2021-09-07,60.45,Onion
2021-09-08,62.05,Onion
2021-09-09,60.85,Onion
2021-09-10,60.61,Onion
2021-09-11,61.85,Onion
2021-09-12,61.68,Onion
2021-09-13,62.32,Onion
2021-09-14,61.63,Onion
2021-09-15,61.35,Onion
2021-09-16,62.78,Onion
2021-09-17,60.82,Onion
2021-09-18,61.45,Onion
2021-09-19,60.95,Onion
2021-09-20,61.03,Onion
2021-09-21,59.89,Onion
2021-09-22,61.82,Onion
2021-09-23,61.45,Onion
2021-09-24,60.73,Onion
2021-09-25,61.25,Onion
2021-09-26,62.17,Onion
2021-09-27,62.21,Onion
2021-09-28,62.98,Onion
2021-09-29,63.89,Onion
2021-09-30,62.02,Onion
2021-10-01,61.13,Onion
2021-10-02,60.17,Onion
2021-10-03,62.04,Onion
2021-10-04,60.6,Onion
2021-10-05,60.65,Onion
2021-10-06,60.53,Onion
2021-10-07,61.31,Onion
2021-10-08,62.74,Onion
2021-10-09,61.97,Onion
2021-10-10,61.36,Onion
2021-10-11,60.08,Onion
2021-10-12,59.17,Onion
2021-10-13,60.27,Onion
2021-10-14,60.98,Onion
2021-10-15,62.94,Onion
2021-10-16,61.48,Onion
2021-10-17,61.9,Onion
2021-10-18,60.04,Onion
2021-10-19,59.07,Onion
2021-10-20,59.27,Onion
2021-10-21,59.78,Onion
2021-10-22,62.64,Onion
2021-10-23,59.98,Onion
2021-10-24,61.1,Onion
2021-10-25,58.98,Onion
2021-10-26,60.25,Onion
2021-10-27,59.74,Onion
2021-10-28,59.52,Onion
2021-10-29,59.89,Onion
2021-10-30,59.31,Onion
2021-10-31,59.9,Onion
2021-11-01,58.52,Onion
2021-11-02,57.42,Onion
2021-11-03,57.33,Onion
2021-11-04,58.88,Onion
2021-11-05,60.4,Onion
2021-11-06,59.07,Onion
2021-11-07,58.39,Onion
2021-11-08,58.17,Onion
2021-11-09,58.66,Onion
2021-11-10,57.62,Onion
2021-11-11,57.28,Onion
2021-11-12,58.87,Onion
2021-11-13,58.19,Onion
2021-11-14,58.74,Onion
2021-11-15,56.92,Onion
2021-11-16,55.2,Onion
2021-11-17,54.99,Onion
2021-11-18,57.92,Onion
2021-11-19,58.19,Onion
2021-11-20,56.39,Onion
2021-11-21,55.75,Onion
2021-11-22,56.79,Onion
2021-11-23,54.01,Onion
2021-11-24,54.11,Onion
2021-11-25,55.69,Onion
2021-11-26,54.95,Onion
2021-11-27,55.2,Onion
2021-11-28,54.58,Onion
2021-11-29,54.4,Onion
2021-11-30,54.89,Onion
2021-12-01,53.59,Onion
2021-12-02,54.28,Onion
2021-12-03,52.03,Onion
2021-12-04,53.72,Onion
2021-12-05,52.53,Onion
2021-12-06,51.54,Onion
2021-12-07,51.37,Onion
2021-12-08,51.74,Onion
2021-12-09,53.04,Onion
2021-12-10,51.2,Onion
2021-12-11,52.3,Onion
2021-12-12,51.35,Onion
2021-12-13,50.84,Onion
2021-12-14,51.55,Onion
2021-12-15,51.01,Onion
2021-12-16,51.9,Onion
2021-12-17,50.72,Onion
2021-12-18,50.11,Onion
2021-12-19,50.05,Onion
2021-12-20,49.81,Onion
2021-12-21,49.26,Onion
2021-12-22,48.0,Onion
2021-12-23,49.23,Onion
2021-12-24,49.52,Onion
2021-12-25,51.46,Onion
2021-12-26,50.39,Onion
2021-12-27,47.28,Onion
2021-12-28,47.3,Onion
2021-12-29,46.12,Onion
2021-12-30,47.08,Onion
2021-12-31,48.07,Onion
2022-01-01,48.75,Onion
2022-01-02,46.52,Onion
